school-year	school	name
2022-2023	Needham	Vann Hotchkiss
2021-2022	Brookline	Aaron Fowler
2021-2022	Needham	Pietro Rozzo
2020-2021	Brookline	Hugo Besin
2020-2021	Brookline	Timmy Lee
2020-2021	Brookline	Mati Levi
2020-2021	Brookline	Luka Marinkovic
2020-2021	Natick	Allen Cheung
2020-2021	Natick	Brian Cheung
2020-2021	Natick	Noah Hamer
2020-2021	Needham	Jason Chiappinelli
2020-2021	Needham	Sam Chutkow
2020-2021	Needham	Cole Conway
2020-2021	Needham	Andrew Dementiev
2020-2021	Needham	Lucas Pirner
2020-2021	Needham	Pietro Rozzo
2020-2021	Newton North	Elliot Alberts
2020-2021	Newton North	Ryo Vanderpool
2020-2021	Newton North	Alec Wong
2020-2021	Wellesley	Chris Brooks
2020-2021	Wellesley	Joey Hemmerle
2020-2021	Wellesley	Thomas Nielsen
2020-2021	Wellesley	Tyler Okun
2020-2021	Wellesley	Andrew Song
2020-2021	Wellesley	Tanay Venkata
2020-2021	Wellesley	Howard Xu
2019-2020	Brookline	Julian Atkins
2019-2020	Brookline	Soeren Euvrard
2019-2020	Brookline	Elan Katz
2019-2020	Brookline	Luka Marinkovic
2019-2020	Brookline	Tian-Hao Zhang
2019-2020	Framingham	Jonathan Dupcak
2019-2020	Framingham	Edward Gao
2019-2020	Framingham	Leone Kisler
2019-2020	Framingham	Shawn Lafountain
2019-2020	Framingham	Tristan Wilcox
2019-2020	Framingham	Chance Yan
2019-2020	Natick	Zach Bubonovich
2019-2020	Natick	Brian Cheung
2019-2020	Natick	Joe Holihan
2019-2020	Natick	Matt Kwan
2019-2020	Natick	Ben Schmelmer
2019-2020	Natick	Max Weisman
2019-2020	Needham	Martin Barbera
2019-2020	Needham	Jason Chiappinelli
2019-2020	Needham	Andrew Dementiev
2019-2020	Needham	Pietro Rozzo
2019-2020	Newton North	William Ayinon
2019-2020	Newton North	John Byers
2019-2020	Newton North	Ryo Vanderpool
2019-2020	Wellesley	David Cole
2019-2020	Wellesley	Daniel Scherrer
2019-2020	Wellesley	Tanay Venkata
2018-2019	Brookline	Elan Katz
2018-2019	Framingham	Jonathan Dupcak
2018-2019	Framingham	Justin Lu
2018-2019	Framingham	Mason Matzker
2018-2019	Framingham	Tristan Wilcox
2018-2019	Framingham	Chance Yan
2018-2019	Natick	Antonio Arena
2018-2019	Natick	Jiro Batt
2018-2019	Natick	Kyle Burati
2018-2019	Natick	Allen Cheun
2018-2019	Natick	Joe Holihan
2018-2019	Natick	Matthew Kwan
2018-2019	Natick	Ben Schmelmer
2018-2019	Natick	Max Weisman
2018-2019	Needham	Daniel Cote
2018-2019	Needham	Alex Ektov
2018-2019	Needham	Henry Keegan
2018-2019	Needham	Pietro Rozzo
2018-2019	Needham	Ben Shapiro
2018-2019	Needham	Andrei Treil
2018-2019	Newton North	John Byers
2018-2019	Newton North	Jonathan Qian
2018-2019	Newton North	Jason Wang
2018-2019	Wellesley	Edward Choi
2018-2019	Wellesley	Will Henshon
2018-2019	Wellesley	Daniel Scherrer
2017-2018	Brookline	Charlie Brown
2017-2018	Brookline	Soeren Euvard
2017-2018	Brookline	Hugh McKenzie
2017-2018	Brookline	Reo Shambori
2017-2018	Framingham	Sean Andrews
2017-2018	Framingham	Cole Bassett
2017-2018	Framingham	Leone Kisler
2017-2018	Framingham	Chance Yan
2017-2018	Natick	Ian Arnold
2017-2018	Natick	Jordan Arnold
2017-2018	Natick	Jiro Batt
2017-2018	Natick	Ben Schmelmer
2017-2018	Natick	Evan Walker
2017-2018	Natick	Kevin Zheng
2017-2018	Needham	Henry Keegan
2017-2018	Needham	Ben Shapiro
2017-2018	Needham	Sergey Sonkin
2017-2018	Needham	Andrei Treil
2017-2018	Needham	Zibing Zhang
2017-2018	Needham	Eric Zhu
2017-2018	Newton North	John Ryan Byers
2017-2018	Newton North	Will Riley
2017-2018	Wellesley	Edward Choi
2017-2018	Wellesley	Calvin Isley
2017-2018	Wellesley	Andrew Scherrer
2017-2018	Wellesley	Daniel Scherrer
2017-2018	Wellesley	Richie Thompson
2016-2017	Brookline	Dan Katz
2016-2017	Brookline	Andrey Nosatov
2016-2017	Framingham	Cole Bassett
2016-2017	Framingham	Sean Andrews
2016-2017	Framingham	Leone Kisler
2016-2017	Natick	Kevin Zheng
2016-2017	Needham	John Higgins
2016-2017	Needham	Nicholas Lombardo
2016-2017	Needham	Henry Keegan
2016-2017	Needham	Andrei Treil
2016-2017	Needham	Sergey Sonkin
2016-2017	Needham	Zibing Zhang
2016-2017	Needham	Eric Zhu
2016-2017	Newton North	Will Riley
2016-2017	Wellesley	Hayden Gribbel
2016-2017	Wellesley	Graham Harris
2016-2017	Wellesley	Calvin Isley
2016-2017	Wellesley	Richie Thompson
2016-2017	Wellesley	Andrew Scherrer
2015-2016	Needham	Zibing Zhang
2014-2015	Brooline	Michael Levin
2014-2015	Brooline	Nathan Katz
2014-2015	Brooline	Franklin Yeo
2014-2015	Brooline	Oliver Costolloe
2014-2015	Framingham	Benjamin Cohen
2014-2015	Framingham	Matthew Peck
2014-2015	Framingham	Guilian Santos
2014-2015	Framingham	Hunter Olson
2014-2015	Framingham	Kevin Silva
2014-2015	Framingham	Eli Gazda
2014-2015	Framingham	Cole Bassett
2014-2015	Natick	Kevin Zheng
2014-2015	Needham	Nathan Lai
2014-2015	Newton North	Bowen He
2014-2015	Wellesley	Matthew Scherrer
2014-2015	Wellesley	Brendan Connors
2014-2015	Wellesley	Harrison Shockley
2014-2015	Wellesley	Ben Matejka
2012-2013	Brookline	J.D. Nurme
2012-2013	Brookline	Franklin Yeo
2012-2013	Framingham	Nate Courville
2012-2013	Framingham	Josh Jacobson
2012-2013	Framingham	Tim Long
2012-2013	Framingham	Hunter Olson
2012-2013	Framingham	Matt Peck
2012-2013	Framingham	Kevin Silva
2012-2013	Needham	Cassidy Bastianelli
2012-2013	Needham	Bowen He
2012-2013	Needham	Thomas Lively
2012-2013	Needham	Lucas Radouch
2012-2013	Needham	Brendan Timmerman
2012-2013	Needham	llie Tomac
2012-2013	Needham	Austen Young
2012-2013	Wellesley	Jonathan Chow
2012-2013	Wellesley	Brendan Connors
2012-2013	Wellesley	Andrew Gartley
2011-2012	Brookline	Zack Albert
2011-2012	Brookline	J.D. Nurme
2011-2012	Brookline	Kyle Swardstrom
2011-2012	Framingham	Nate Courville
2011-2012	Framingham	Josh Herzberg
2011-2012	Framingham	Tim Long
2011-2012	Framingham	Hunter Olson
2011-2012	Framingham	Ryan Weeks
2011-2012	Natick	Doug Dube
2011-2012	Natick	Mariano Restivo-Lage
2011-2012	Natick	Ethan Ziegler
2011-2012	Needham	Stephen Keeler
2011-2012	Needham	Ryan Schott
2011-2012	Needham	Jason Shiuan
2011-2012	Needham	Nathaniel Smith
2011-2012	Needham	Alex Treil
2011-2012	Needham	Teddy Tsavdariedes
2011-2012	Needham	James Yi
2011-2012	Newton North	Ryan Chan
2011-2012	Wellesley	Andrew Gartley
