event	time	splits	place	points	date	meet	dq	sectionals-qualifier	states-qualifier
100 Backstroke	58.67	28.58/30.09	2	17	11/06/2022	Sectionals	FALSE	TRUE	TRUE
100 Backstroke	58.72	28.66/30.06	2	17	11/13/2022	States	FALSE	TRUE	TRUE
100 Backstroke	58.97	28.85/30.12	1	20	10/29/2022	Bay State Conference	FALSE	TRUE	TRUE
100 Backstroke	60.19	29.32/30.87	1	20	10/29/2023	Bay State Conference	FALSE	TRUE	TRUE
100 Backstroke	60.85	29.26/31.59	1	6	10/20/2023	Wellesley	FALSE	TRUE	TRUE
100 Backstroke	61.41	29.06/32.25	1	6	10/05/2023	Brookline	FALSE	TRUE	TRUE
100 Backstroke	61.93	30.06/31.85	2	4	10/20/2022	Wellesley	FALSE	TRUE	TRUE
100 Backstroke	62.00				09/24/2021	Acton-Boxborough	FALSE	TRUE	TRUE
100 Backstroke	62.14	30.55/31.90	1	6	09/29/2023	Acton-Boxborough	FALSE	TRUE	TRUE
100 Backstroke	62.21				09/28/2021	Brookline	FALSE	TRUE	TRUE
100 Backstroke	62.41	30.25/32.00	2	4	09/19/2023	Milton	FALSE	TRUE	TRUE
100 Backstroke	63.00				10/05/2021	Milton	FALSE	TRUE	TRUE
100 Backstroke	63.16				09/21/2021	Framingham	FALSE	TRUE	TRUE
100 Backstroke	63.20	29.91/33.19			10/18/2022	Natick	FALSE	TRUE	TRUE
100 Backstroke	63.21	30.79/32.32	1	6	10/09/2023	Framingham	FALSE	TRUE	TRUE
100 Backstroke	63.36	30.55/32.89	2	4	09/20/2022	Milton	FALSE	TRUE	TRUE
100 Backstroke	63.62	30.90/32.50	2	4	09/15/2022	Acton-Boxborough	FALSE	TRUE	TRUE
100 Backstroke	64.13		1	6	09/28/2022	Brookline	FALSE	TRUE	TRUE
100 Backstroke	66.21	32.15/34.42			09/13/2022	Weymouth	FALSE	TRUE	TRUE
100 Breaststroke	77.74	/41.03	3	3	10/03/2022	Braintree	FALSE	TRUE	FALSE
100 Breaststroke	77.94	37.18/40.85			10/14/2022	Newton North	FALSE	TRUE	FALSE
100 Breaststroke	80.59	37.89/42.50			10/21/2022	Walpole	FALSE	FALSE	FALSE
100 Buttefly	64.09	29.80/34.12	2	4	09/12/2023	Walpole	FALSE	TRUE	TRUE
100 Buttefly	64.65	30.10/34.53	1	6	10/17/2023	Weymouth	FALSE	TRUE	TRUE
100 Freestyle	57.15				09/28/2021	Brookline	FALSE	TRUE	TRUE
100 Freestyle	57.35				09/10/2021	Weymouth	FALSE	TRUE	TRUE
100 Freestyle Split	54.42	25.88/28.54	1	10	11/05/2023	Sectionals	FALSE	FALSE	FALSE
100 Freestyle Split	54.53	25.87/28.66	1	10	11/11/2023	States	FALSE	FALSE	FALSE
100 Freestyle Split	55.12	26.59/28.53	4	7.5	11/14/2021	States	FALSE	FALSE	FALSE
100 Freestyle Split	55.21	26.51/28.70	4	7.5	11/07/2021	Sectionals	FALSE	FALSE	FALSE
100 Freestyle Split	55.57				10/22/2021	Wellesley	FALSE	FALSE	FALSE
100 Freestyle Split	55.58		2	8.5	10/29/2023	Bay State Conference	FALSE	FALSE	FALSE
100 Freestyle Split	55.60	26.54/29.06	2	8.5	10/29/2022	Bay State Conference	FALSE	FALSE	FALSE
100 Freestyle Split	56.03		1	2	10/02/2023	Newton North	FALSE	FALSE	FALSE
100 Freestyle Split	56.28	26.91/29.37	3	8	11/06/2022	Sectionals	FALSE	FALSE	FALSE
100 Freestyle Split	56.29				09/24/2021	Acton-Boxborough	FALSE	FALSE	FALSE
100 Freestyle Split	56.36	26.72/29.64	1	2	10/20/2023	Wellesley	FALSE	FALSE	FALSE
100 Freestyle Split	56.43		1	2	10/13/2023	Natick	FALSE	FALSE	FALSE
100 Freestyle Split	56.97		1	2	09/29/2023	Acton-Boxborough	FALSE	FALSE	FALSE
100 Freestyle Split	57.17	27.19/29.98	3	8	11/13/2022	States	FALSE	FALSE	FALSE
100 Freestyle Split	57.54		1	2	09/12/2023	Walpole	FALSE	FALSE	FALSE
100 Freestyle Split	57.61				09/28/2021	Brookline	FALSE	FALSE	FALSE
100 Freestyle Split	57.61		2	1	10/20/2022	Wellesley	FALSE	FALSE	FALSE
100 Freestyle Split	57.75		1	2	09/15/2022	Acton-Boxborough	FALSE	FALSE	FALSE
100 Freestyle Split	58.03				10/19/2021	Newton North	FALSE	FALSE	FALSE
100 Freestyle Split	58.11		1	2	09/26/2023	Braintree	FALSE	FALSE	FALSE
100 Freestyle Split	58.42		2	1	10/17/2023	Weymouth	FALSE	FALSE	FALSE
100 Freestyle Split	58.44				10/14/2022	Newton North	FALSE	FALSE	FALSE
100 Freestyle Split	58.50				10/15/2021	Braintree	FALSE	FALSE	FALSE
100 Freestyle Split	58.5		1	2	10/05/2023	Brookline	FALSE	FALSE	FALSE
100 Freestyle Split	58.54		1	2	10/09/2023	Framingham	FALSE	FALSE	FALSE
100 Freestyle Split	58.80				10/07/2022	Framingham	FALSE	FALSE	FALSE
100 Freestyle Split	58.96				09/21/2021	Framingham	FALSE	FALSE	FALSE
100 Freestyle Split	59.23				09/14/2021	Natick	FALSE	FALSE	FALSE
100 Freestyle Split	59.46				10/05/2021	Milton	FALSE	FALSE	FALSE
100 Freestyle Split	59.89		2	1	09/28/2022	Brookline	FALSE	FALSE	FALSE
100 Freestyle Split	59.97		1	2	10/03/2022	Braintree	FALSE	FALSE	FALSE
100 Freestyle Split	59.98				10/18/2022	Natick	FALSE	FALSE	FALSE
100 Freestyle Split	60.28				10/08/2021	Walpole	FALSE	FALSE	FALSE
100 Freestyle Split	60.30		2	1	09/20/2022	Milton	FALSE	FALSE	FALSE
100 Freestyle Split	61.24				10/21/2022	Walpole	FALSE	FALSE	FALSE
100 Freestyle Split	63.97				09/13/2022	Weymouth	FALSE	FALSE	FALSE
100 Freestyle Split			2	1	09/19/2023	Milton	FALSE	FALSE	FALSE
200 Freestyle	118.23	27.11/29.35/30.92/30.85	1	20	11/05/2023	Sectionals	FALSE	TRUE	TRUE
200 Freestyle	118.48	27.25/29.81/30.70/30.72	2	17	11/07/2021	Sectionals	FALSE	TRUE	TRUE
200 Freestyle	118.59	27.42/29.64/30.79/30.74	2	17	11/11/2023	States	FALSE	TRUE	TRUE
200 Freestyle	119.34	27.14/29.88/31.24/31.08	7	12	11/14/2021	States	FALSE	TRUE	TRUE
200 Freestyle	119.38		2	17	10/29/2021	Bay State Conference	FALSE	TRUE	TRUE
200 Freestyle	121.53				10/22/2021	Wellesley	FALSE	TRUE	TRUE
200 Freestyle	123.1	28.25/30.96/31.60/32.10	1	6	10/05/2023	Brookline	FALSE	TRUE	TRUE
200 Freestyle	123.88	28.14/31.17/32.33/32.14	1	6	09/12/2023	Walpole	FALSE	TRUE	TRUE
200 Freestyle	124.10				10/19/2021	Newton North	FALSE	TRUE	TRUE
200 Freestyle	124.47				09/10/2021	Weymouth	FALSE	TRUE	TRUE
200 Freestyle	124.81				09/14/2021	Natick	FALSE	TRUE	TRUE
200 Freestyle	124.93				10/05/2021	Milton	FALSE	TRUE	TRUE
200 Freestyle	125.31	28.70/31.70/32.70/31.88	2	4	09/29/2023	Acton-Boxborough	FALSE	TRUE	TRUE
200 Freestyle	126.15	28.62/31.92/32.72/32.85			10/18/2022	Natick	FALSE	TRUE	TRUE
200 Freestyle	128.16		2	4	09/28/2022	Brookline	FALSE	TRUE	TRUE
200 Freestyle	131.17	29.25/33.25/34.39/34.07	3	3	09/15/2022	Acton-Boxborough	FALSE	TRUE	FALSE
200 Individual Medley	142.33				10/08/2021	Walpole	FALSE	TRUE	TRUE
200 Individual Medley	146.59	31.62/36.40/43.57/34.85	1	6	09/13/2022	Weymouth	FALSE	TRUE	TRUE
50 Backstroke Split	28.11		5	7	11/13/2022	States	FALSE	FALSE	FALSE
50 Backstroke Split	28.24		2	8.5	11/05/2023	Sectionals	FALSE	FALSE	FALSE
50 Backstroke Split	28.28		3	8	11/06/2022	Sectionals	FALSE	FALSE	FALSE
50 Backstroke Split	28.52		1	2	10/20/2023	Wellesley	FALSE	FALSE	FALSE
50 Backstroke Split	28.58		2	8.5	10/29/2023	Bay State Conference	FALSE	FALSE	FALSE
50 Backstroke Split	28.86		4	7.5	11/11/2023	States	FALSE	FALSE	FALSE
50 Backstroke Split	28.94		3	8	10/29/2022	Bay State Conference	FALSE	FALSE	FALSE
50 Backstroke Split	29.09				10/20/2022	Wellesley	TRUE	FALSE	FALSE
50 Backstroke Split	29.28		2	1	09/19/2023	Milton	FALSE	FALSE	FALSE
50 Backstroke Split	29.59		2	1	09/29/2023	Acton-Boxborough	FALSE	FALSE	FALSE
50 Backstroke Split	30.00		2	1	09/20/2022	Milton	FALSE	FALSE	FALSE
50 Backstroke Split	30.11		1	2	10/03/2022	Braintree	FALSE	FALSE	FALSE
50 Backstroke Split	30.23				09/10/2021	Weymouth	FALSE	FALSE	FALSE
50 Backstroke Split	30.62		1	2	10/14/2022	Newton North	FALSE	FALSE	FALSE
50 Backstroke Split	30.66		1	2	10/13/2023	Natick	FALSE	FALSE	FALSE
50 Backstroke Split	30.85		1	2	09/26/2023	Braintree	FALSE	FALSE	FALSE
50 Backstroke Split	31.81		1	2	10/21/2022	Walpole	FALSE	FALSE	FALSE
50 Buttefly Split	29.50		1	2	10/09/2023	Framingham	FALSE	FALSE	FALSE
50 Freestyle	26.01		2	4	10/02/2023	Newton North	FALSE	TRUE	TRUE
50 Freestyle	26.89		3	3	09/26/2023	Braintree	FALSE	TRUE	FALSE
50 Freestyle	27.00		1	6	10/07/2022	Framingham	FALSE	TRUE	TRUE
50 Freestyle	27.39		4	2	10/03/2022	Braintree	FALSE	TRUE	FALSE
50 Freestyle	27.71		2	4	10/13/2023	Natick	FALSE	FALSE	FALSE
50 Freestyle	28.01		2	4	10/21/2022	Walpole	FALSE	FALSE	FALSE
50 Freestyle Split	25.93		5	7	11/07/2021	Sectionals	FALSE	FALSE	FALSE
50 Freestyle Split	25.97		3	8	11/14/2021	States	FALSE	FALSE	FALSE
50 Freestyle Split	26.04		1	2	09/19/2023	Milton	FALSE	FALSE	FALSE
50 Freestyle Split	26.15				09/24/2021	Acton-Boxborough	FALSE	FALSE	FALSE
50 Freestyle Split	26.25		1	2	10/02/2023	Newton North	FALSE	FALSE	FALSE
