event	score	place	points	date	meet	sectionals-qualifier	states-qualifier
11 Dives	365.400	5	14	11/03/2024	Sectionals	FALSE	FALSE
11 Dives	364.150	6	13	11/11/2023	States	FALSE	FALSE
11 Dives	353.450	7	12	11/10/2024	States	FALSE	FALSE
11 Dives	345.850	7	12	11/05/2023	Sectionals	FALSE	FALSE
11 Dives	323.000	8	11	11/13/2022	States	FALSE	FALSE
11 Dives	320.600	16	1	11/06/2022	Sectionals	FALSE	FALSE
5 Dives	203.400			11/11/2023	States	FALSE	FALSE
5 Dives	181.050	3		11/03/2024	Sectionals	FALSE	FALSE
5 Dives	173.200	6		11/05/2023	Sectionals	FALSE	FALSE
5 Dives	173.050	6		11/10/2024	States	FALSE	FALSE
5 Dives	165.050	6		11/06/2022	Sectionals	FALSE	FALSE
5 Dives	163.550	7		11/13/2022	States	FALSE	FALSE
6 Dives	228.075	2	4	10/22/2024	Wellesley	TRUE	TRUE
6 Dives	220.650	1		09/24/2024	Acton-Boxborough	TRUE	TRUE
6 Dives	215.300	2	17	10/25/2024	Bay State Conference	TRUE	TRUE
6 Dives	213.000	3	3	10/13/2023	Natick	TRUE	TRUE
6 Dives	210.150	1	6	09/26/2023	Braintree	TRUE	TRUE
6 Dives	208.575	2	4	10/07/2022	Framingham	TRUE	TRUE
6 Dives	207.750	4		10/16/2022	Braintree & Brookline	TRUE	TRUE
6 Dives	205.950	1	6	09/17/2024	Braintree	TRUE	TRUE
6 Dives	205.900	6	13	10/28/2023	Bay State Conference	TRUE	TRUE
6 Dives	205.800	1	6	09/10/2024	Milton	TRUE	TRUE
6 Dives	201.000	1	6	10/01/2024	Brookline	TRUE	TRUE
6 Dives	199.950	1	6	10/02/2023	Newton North	TRUE	TRUE
6 Dives	197.250	2	4	10/05/2023	Brookline	TRUE	TRUE
6 Dives	193.050	1	6	10/15/2024	Natick	TRUE	TRUE
6 Dives	191.320	2	4	09/29/2023	Acton-Boxborough	TRUE	TRUE
6 Dives	190.200	1	6	09/12/2023	Walpole	TRUE	TRUE
6 Dives	189.825	1	6	10/21/2022	Walpole	TRUE	FALSE
6 Dives	187.450	4	2	10/14/2022	Newton North	TRUE	FALSE
6 Dives	186.750	5	1	10/20/2023	Wellesley	TRUE	FALSE
6 Dives	185.625	2	4	10/09/2023	Framingham	TRUE	FALSE
6 Dives	185.500			10/29/2022	Bay State Conference	TRUE	FALSE
6 Dives	185.500	9	9	10/29/2022	Bay State Conference	TRUE	FALSE
6 Dives	184.875	5	1	09/28/2022	Brookline	TRUE	FALSE
6 Dives	182.325	5	1	10/18/2022	Natick	TRUE	FALSE
6 Dives	180.000	2	4	9/27/2024	Newton North	TRUE	FALSE
6 Dives	179.625	1	6	10/17/2023	Weymouth	FALSE	FALSE
6 Dives	178.650	6		10/20/2022	Wellesley	FALSE	FALSE
6 Dives	177.525	3	3	09/15/2022	Acton-Boxborough	FALSE	FALSE
6 Dives	177.375	1	6	09/19/2023	Milton	FALSE	FALSE
6 Dives	172.250	12	5	10/29/2021	Bay State Conference	FALSE	FALSE
6 Dives	171.375	3	3	10/03/2022	Braintree	FALSE	FALSE
6 Dives	170.025	4	2	09/20/2022	Milton	FALSE	FALSE
6 Dives	165.975	3	3	10/08/2024	Walpole	FALSE	FALSE
8 Dives	271.450	5		11/03/2024	Sectionals	FALSE	FALSE
8 Dives	266.250			11/11/2023	States	FALSE	FALSE
8 Dives	263.400	7		11/10/2024	States	FALSE	FALSE
8 Dives	260.300	6		11/05/2023	Sectionals	FALSE	FALSE
8 Dives	248.600	10		11/06/2022	Sectionals	FALSE	FALSE
8 Dives	248.000	7		11/13/2022	States	FALSE	FALSE
