event	time	splits	place	points	date	meet	dq	sectionals-qualifier	states-qualifier	first-leg
100 Backstroke	62.95	30.66/32.29	6	13	11/02/2025	Sectionals	FALSE	FALSE	FALSE	FALSE
100 Backstroke	63.12	30.78/32.34	7	12	11/09/2025	States	FALSE	FALSE	FALSE	FALSE
100 Backstroke	63.19	30.77/32.42	6	13	11/03/2024	Sectionals	FALSE	TRUE	TRUE	FALSE
100 Backstroke	63.52	31.08/32.44	6	13	11/10/2024	States	FALSE	TRUE	TRUE	FALSE
100 Backstroke	64.05	31.56/32.49	6	13	10/27/2024	Bay State Conference	FALSE	TRUE	TRUE	FALSE
100 Backstroke	64.06	31.37/32.80	2	4	10/22/2024	Wellesley	FALSE	TRUE	TRUE	FALSE
100 Backstroke	64.33	31.76/32.57	5	14	10/26/2025	Bay State Conference	FALSE	FALSE	FALSE	FALSE
100 Backstroke	65.53	32.06/33.47	5	14	10/29/2023	Bay State Conference	FALSE	TRUE	TRUE	FALSE
100 Backstroke	66.06	32.29/33.77	4	2	09/30/2025	Newton North	FALSE	TRUE	TRUE	FALSE
100 Backstroke	66.10	31.99/34.11	16	1	11/11/2023	States	FALSE	TRUE	TRUE	FALSE
100 Backstroke	66.67	32.69/33.85	2	4	09/27/2024	Newton North	FALSE	TRUE	TRUE	FALSE
100 Backstroke	66.88	32.52/34.28	4	2	09/12/2025	Milton	FALSE	TRUE	TRUE	FALSE
100 Backstroke	67.15	31.83/35.32	14	3	11/05/2023	Sectionals	FALSE	TRUE	TRUE	FALSE
100 Backstroke	67.24	33.06/34.18	3	3	09/10/2024	Milton	FALSE	TRUE	TRUE	FALSE
100 Backstroke	67.29	32.54/34.76	2	4	09/06/2024	Framingham	FALSE	TRUE	TRUE	FALSE
100 Backstroke	67.50	33.69/33.81	3	3	10/20/2025	Wellesley	FALSE	TRUE	TRUE	FALSE
100 Backstroke	67.64	33.44/34.20	1	6	10/17/2025	Weymouth	FALSE	TRUE	TRUE	FALSE
100 Backstroke	67.66	32.56/35.60	2	4	09/12/2023	Walpole	FALSE	TRUE	FALSE	FALSE
100 Backstroke	67.79	32.67/32.25	4	2	10/05/2023	Brookline	FALSE	TRUE	FALSE	FALSE
100 Backstroke	67.86	33.33/34.65	2	4	10/15/2024	Natick	FALSE	TRUE	FALSE	FALSE
100 Backstroke	67.90	33.32/34.58	4	2	10/07/2025	Brookline	FALSE	TRUE	TRUE	FALSE
100 Backstroke	68.30	33.14/35.16	4	2	10/01/2024	Brookline	FALSE	TRUE	FALSE	FALSE
100 Backstroke	69.16	33.47/35.54	4	2	09/24/2024	Acton-Boxborough	FALSE	FALSE	FALSE	FALSE
100 Backstroke	69.69	33.90/35.63			09/29/2023	Acton-Boxborough	FALSE	FALSE	FALSE	FALSE
100 Backstroke	70.31	33.81/35.64	4	2	09/19/2023	Milton	FALSE	FALSE	FALSE	FALSE
100 Backstroke	70.90		5	1	10/09/2023	Framingham	FALSE	FALSE	FALSE	FALSE
100 Butterfly	61.14	28.35/32.79	3	16	11/02/2025	Sectionals	FALSE	FALSE	FALSE	FALSE
100 Butterfly	61.26	28.31/32.95	6	13	11/09/2025	States	FALSE	FALSE	FALSE	FALSE
100 Butterfly	61.78	28.81/32.97	4	15	11/10/2024	States	FALSE	TRUE	TRUE	FALSE
100 Butterfly	61.95	28.80/33.15	3	16	11/03/2024	Sectionals	FALSE	TRUE	TRUE	FALSE
100 Butterfly	62.18	28.69/33.22	2	4	10/22/2024	Wellesley	FALSE	TRUE	TRUE	FALSE
100 Butterfly	62.45	29.39/33.06	5	14	10/26/2025	Bay State Conference	FALSE	FALSE	FALSE	FALSE
100 Butterfly	62.6	29.40/33.20	3	16	10/27/2024	Bay State Conference	FALSE	TRUE	TRUE	FALSE
100 Butterfly	63.14	29.83/33.31	2	4	09/30/2025	Newton North	FALSE	TRUE	TRUE	FALSE
100 Butterfly	63.41	29.33/34.08	7	11.5	11/11/2023	States	FALSE	TRUE	TRUE	FALSE
100 Butterfly	63.51	29.90/33.61	2	4	10/07/2025	Brookline	FALSE	TRUE	TRUE	FALSE
100 Butterfly	63.54	29.80/33.74	2	4	10/03/2025	Framingham	FALSE	TRUE	TRUE	FALSE
100 Butterfly	64.03	30.08/33.95	1	6	10/01/2024	Brookline	FALSE	TRUE	TRUE	FALSE
100 Butterfly	64.12	29.86/34.14	1	6	09/27/2024	Newton North	FALSE	TRUE	TRUE	FALSE
100 Butterfly	64.50	30.26/34.24	2	4	10/14/2025	Natick	FALSE	TRUE	TRUE	FALSE
100 Butterfly	64.69		1	6	09/12/2025	Milton	FALSE	TRUE	TRUE	FALSE
100 Butterfly	64.77	30.07/34.70	1	6	10/20/2025	Wellesley	FALSE	TRUE	TRUE	FALSE
100 Butterfly	65.18	30.38/34.80	11	6	11/05/2023	Sectionals	FALSE	TRUE	TRUE	FALSE
100 Butterfly	65.25	31.09/34.16	7	12	10/29/2022	Bay State Conference	FALSE	TRUE	TRUE	FALSE
100 Butterfly	65.31	29.82/35.47	2	4	09/24/2024	Acton-Boxborough	FALSE	TRUE	TRUE	FALSE
100 Butterfly	65.32	30.83/34.49	4	2	09/10/2024	Milton	FALSE	TRUE	TRUE	FALSE
100 Butterfly	65.69	30.23/35.46	16	1	11/13/2022	States	FALSE	TRUE	TRUE	FALSE
100 Butterfly	65.88	30.44/35.44	1	6	10/10/2025	Walpole	FALSE	TRUE	TRUE	FALSE
100 Butterfly	66.02	30.96/35.06	10	7	10/29/2023	Bay State Conference	FALSE	TRUE	TRUE	FALSE
100 Butterfly	66.46	30.46/36.00	9	9	11/06/2022	Sectionals	FALSE	TRUE	TRUE	FALSE
100 Butterfly	66.56	31.03/35.53	2	4	10/18/2024	Weymouth	FALSE	TRUE	TRUE	FALSE
100 Butterfly	66.60	30.76/35.49	4	2	09/19/2023	Milton	FALSE	TRUE	TRUE	FALSE
100 Butterfly	66.62	30.37/36.25	7		10/20/2023	Wellesley	FALSE	TRUE	TRUE	FALSE
100 Butterfly	66.66	30.67/35.85	3	3	10/05/2023	Brookline	FALSE	TRUE	TRUE	FALSE
100 Butterfly	67.36	31.46/35.90	2	4	09/17/2024	Braintree	FALSE	TRUE	TRUE	FALSE
100 Butterfly	67.53	30.88/37.18	2	4	09/29/2023	Acton-Boxborough	FALSE	TRUE	FALSE	FALSE
100 Butterfly	68.06	31.34/36.79			10/20/2022	Wellesley	FALSE	TRUE	TRUE	FALSE
100 Butterfly	70.10		6		09/28/2022	Brookline	FALSE	FALSE	FALSE	FALSE
100 Butterfly	70.42	32.84/37.50	4	2	10/03/2022	Braintree	FALSE	FALSE	FALSE	FALSE
100 Freestyle	60.94	29.25/31.69	2	4	10/17/2025	Weymouth	FALSE	TRUE	FALSE	FALSE
100 Freestyle	61.50	30.35/30.97	1	6	10/08/2024	Walpole	FALSE	FALSE	FALSE	FALSE
100 Freestyle	62.12	29.68/32.57			09/19/2025	Braintree	FALSE	FALSE	FALSE	FALSE
100 Freestyle	62.69	29.75/32.94			10/18/2022	Natick	FALSE	FALSE	FALSE	FALSE
100 Freestyle	62.69	29.75/32.72	3	3	10/09/2023	Framingham	FALSE	FALSE	FALSE	FALSE
100 Freestyle	63.60	30.46/33.02	4	2	10/07/2022	Framingham	FALSE	FALSE	FALSE	FALSE
100 Freestyle	65.37	31.42/33.82	6		10/14/2022	Newton North	FALSE	FALSE	FALSE	FALSE
100 Freestyle Split	57.64	27.69/29.95	8	5.5	11/02/2025	Sectionals	FALSE	FALSE	FALSE	FALSE
